Province,Year,Quarter,Excellent_Very_Good,Good,Fair_Poor
Newfoundland and Labrador,2021,2,46.6,37.2,16.2
Prince Edward Island,2021,2,48.7,33.1,18.1
Nova Scotia,2021,2,47.0,29.3,23.7
New Brunswick,2021,2,46.9,37.8,15.2
Quebec,2021,2,53.0,34.3,12.7
Ontario,2021,2,38.7,36.7,24.7
Manitoba,2021,2,43.2,33.2,23.6
Saskatchewan,2021,2,42.3,35.9,21.8
Alberta,2021,2,41.1,34.3,24.6
British Columbia,2021,2,41.7,35.0,23.3
Newfoundland and Labrador,2021,3,57.0,30.2,12.8
Prince Edward Island,2021,3,52.1,31.4,16.4
Nova Scotia,2021,3,50.8,30.0,19.2
New Brunswick,2021,3,51.9,31.5,16.6
Quebec,2021,3,62.0,29.2,8.7
Ontario,2021,3,48.3,31.1,20.6
Manitoba,2021,3,48.2,35.1,16.8
Saskatchewan,2021,3,48.6,35.0,16.4
Alberta,2021,3,49.0,33.6,17.4
British Columbia,2021,3,49.7,32.4,17.9
Newfoundland and Labrador,2021,4,52.5,29.4,18.1
Prince Edward Island,2021,4,52.2,29.7,18.1
Nova Scotia,2021,4,37.6,36.7,25.7
New Brunswick,2021,4,44.8,35.5,19.7
Quebec,2021,4,58.9,30.0,11.1
Ontario,2021,4,45.8,32.1,22.0
Manitoba,2021,4,46.0,34.1,19.8
Saskatchewan,2021,4,47.2,32.1,20.7
Alberta,2021,4,43.7,31.3,25.0
British Columbia,2021,4,44.8,31.4,23.8
Newfoundland and Labrador,2022,1,49.8,34.5,15.7
Prince Edward Island,2022,1,53.2,31.7,15.1
Nova Scotia,2022,1,39.0,36.6,24.4
New Brunswick,2022,1,46.7,35.8,17.5
Quebec,2022,1,55.8,31.1,13.0
Ontario,2022,1,44.9,33.6,21.5
Manitoba,2022,1,48.8,32.2,19.1
Saskatchewan,2022,1,46.9,34.1,18.9
Alberta,2022,1,46.3,32.3,21.4
British Columbia,2022,1,42.8,34.2,23.0
Newfoundland and Labrador,2022,2,52.0,29.0,19.0
Prince Edward Island,2022,2,49.8,32.5,17.7
Nova Scotia,2022,2,46.2,30.1,23.7
New Brunswick,2022,2,44.9,34.9,20.1
Quebec,2022,2,56.8,31.8,11.3
Ontario,2022,2,45.6,31.7,22.7
Manitoba,2022,2,43.9,38.8,17.3
Saskatchewan,2022,2,47.4,32.9,19.6
Alberta,2022,2,45.9,31.1,23.0
British Columbia,2022,2,45.5,32.9,21.6
Newfoundland and Labrador,2022,3,50.2,31.2,18.6
Prince Edward Island,2022,3,56.7,31.0,12.2
Nova Scotia,2022,3,51.1,29.0,19.9
New Brunswick,2022,3,51.7,34.8,13.5
Quebec,2022,3,67.6,24.0,8.4
Ontario,2022,3,52.1,31.5,16.4
Manitoba,2022,3,49.2,34.2,16.7
Saskatchewan,2022,3,45.6,41.7,12.7
Alberta,2022,3,49.4,32.6,18.0
British Columbia,2022,3,49.1,32.1,18.8
Newfoundland and Labrador,2022,4,46.9,32.3,20.8
Prince Edward Island,2022,4,47.0,32.5,20.6
Nova Scotia,2022,4,41.6,38.2,20.2
New Brunswick,2022,4,41.0,34.7,24.3
Quebec,2022,4,59.1,28.6,12.3
Ontario,2022,4,44.6,32.4,23.0
Manitoba,2022,4,46.2,33.1,20.6
Saskatchewan,2022,4,41.8,35.2,23.0
Alberta,2022,4,44.7,35.6,19.7
British Columbia,2022,4,44.6,31.4,24.0
Newfoundland and Labrador,2023,2,49.9,33.4,16.7
Prince Edward Island,2023,2,41.6,36.2,22.2
Nova Scotia,2023,2,43.1,29.8,27.2
New Brunswick,2023,2,47.6,35.7,16.7
Quebec,2023,2,59.2,30.0,10.8
Ontario,2023,2,45.3,33.5,21.1
Manitoba,2023,2,46.9,31.1,22.0
Saskatchewan,2023,2,44.8,37.0,18.2
Alberta,2023,2,47.5,31.7,20.8
British Columbia,2023,2,45.1,32.1,22.7
Newfoundland and Labrador,2023,3,50.6,30.5,19.0
Prince Edward Island,2023,3,48.8,33.7,17.5
Nova Scotia,2023,3,37.3,38.7,24.0
New Brunswick,2023,3,46.6,31.8,21.6
Quebec,2023,3,55.8,32.0,12.3
Ontario,2023,3,44.1,33.8,22.1
Manitoba,2023,3,42.2,34.0,23.8
Saskatchewan,2023,3,49.5,31.1,19.4
Alberta,2023,3,50.1,30.5,19.4
British Columbia,2023,3,43.0,34.2,22.8
Newfoundland and Labrador,2023,1,48.4,32.8,18.8
Prince Edward Island,2023,1,44.3,34.4,21.4
Nova Scotia,2023,1,42.4,34.0,23.7
New Brunswick,2023,1,44.3,35.2,20.5
Quebec,2023,1,59.2,29.3,11.6
Ontario,2023,1,45.0,33.0,22.0
Manitoba,2023,1,46.6,32.1,21.3
Saskatchewan,2023,1,43.3,36.1,20.6
Alberta,2023,1,46.1,33.6,20.2
British Columbia,2023,1,44.8,31.8,23.4
