Unnamed: 0.1,Unique_Key,Quarterly Sum Precip (mm)_diff,CPI Compounded_diff,Debt_to_Asset_Ratio_diff,Mortgage_Debt_to_Real_Estate_Ratio_diff,Depression_diff,Anxiety_diff,Stress_diff,Unemployment Rate_diff,Quarterly Avg Temp (°C)_diff,Therapy_diff2,Province,YEAR,QUARTER,Excellent_Very_Good,Good,Fair_Poor
5,5,-0.6078596031673147,-0.5203691173250486,0.006550680513689,0.0250408888764098,-0.1821050216188959,-0.1675618764291254,-0.1253132832080199,-0.1049604356484912,-1.3107527076839096,0.0025,Alberta,2022,2,45.9,31.1,23.0
6,6,0.3764814222461865,-0.0398975607089011,0.0144864144102745,0.1080554055633344,-0.1895235378842643,-0.2583077031329244,0.0,-0.0718541037966373,-0.6303824774164744,0.0075,Alberta,2022,3,49.4,32.6,18.0
7,7,0.3748910248323724,-0.6511095642420752,0.0061580517545136,0.0959263531241029,-0.1972612414006409,-0.0486805912189898,0.1253132832080199,-0.030547829850986,-0.244923658684192,-0.0075,Alberta,2022,4,44.7,35.6,19.7
8,8,-1.076560776078999,-0.3653079006798786,-0.0098645015658695,0.0114550783152532,-0.641622989361391,-0.0945192230822302,0.0,0.0014760150576624,0.0377564094143658,0.005,Alberta,2023,1,46.1,33.6,20.2
9,9,0.0527781861544074,0.4446720754330952,-0.0085836754657266,-0.0099744281520147,0.0,0.0,0.1298701298701292,0.008810629682155,-0.0223542973916877,-0.0075,Alberta,2023,2,47.5,31.7,20.8
10,10,0.3234413521942496,0.0574835316511314,-0.0554486427627838,-0.466914601805392,0.0,0.1928505205616879,0.0,0.054067221284126,0.7740591847116214,-0.0175000000000001,Alberta,2023,3,50.1,30.5,19.4
11,11,1.501310300711875,0.1178065856285491,-0.0504860590128699,-0.4710035524747918,0.4362903903537978,0.3192730989890276,0.0,0.0192049798493734,1.747183989052585,-0.0074999999999997,British Columbia,2021,2,41.7,35.0,23.3
12,12,4.287743343089872,-0.2716671084018074,-0.0585403780305391,-0.5218663549369564,0.7742223999113944,0.2961052452615084,0.0,-0.0123036411950203,1.3402287791911318,-0.0025000000000001,British Columbia,2021,3,49.7,32.4,17.9
13,13,1.8946464040156008,0.662488099016173,-0.0690775022764265,-0.6118234167313533,0.6601482280034909,0.0,-0.1298701298701292,-0.0208485661209638,0.9453936507425436,0.01,British Columbia,2021,4,44.8,31.4,23.8
14,14,1.033354817727563,0.4450978969140544,0.0106717543256729,0.0020670453729909,0.1493381569517601,-0.0615365322141747,0.1298701298701292,-0.0988275945977816,0.1743760196641561,0.0149999999999998,British Columbia,2022,1,42.8,34.2,23.0
15,15,-1.0476405332032606,-0.0358889553499055,0.0219079321168995,0.0716962142781738,-0.1493381569517601,-0.2345687130473336,0.1346801346801349,-0.0891277799255696,-0.691232279148593,0.0125000000000001,British Columbia,2022,2,45.5,32.9,21.6
16,16,-1.3451004225807566,-0.264175842502186,0.0285863160378314,0.1204919181944677,0.0,-0.3192730989890276,0.0,-0.0557635745354032,-0.4986503017440582,-5.551115123125783e-17,British Columbia,2022,3,49.1,32.1,18.8
17,17,-1.0315388041241675,-0.4639208268061634,0.0192727561331225,0.1044891395696876,0.0,-0.1460589380727148,0.1397624039133473,-0.012624153210248,-0.0875731295840576,-0.005,British Columbia,2022,4,44.6,31.4,24.0
18,18,-1.027213654225605,-0.2945868426830311,-0.0009354591454231,0.026769391268862,-0.3169854115988637,-0.0926637313021644,-0.1397624039133473,0.0303866095324825,-0.0007852865071926,-0.0025,British Columbia,2023,1,44.8,31.8,23.4
19,19,0.4109971963946286,-0.040444586526428,-0.0024709957662765,0.006494873229224,-0.3431628164046272,-0.0890511763345117,-0.1346801346801349,0.0422294543057406,0.0499442896839732,-1.1102230246251563e-16,British Columbia,2023,2,45.1,32.1,22.7
20,20,-2.9025864952568003,0.5302943652285135,0.0023575326371192,0.535923036931359,0.1749918821403737,0.4300556436233932,-0.2551834130781492,0.1340586797298095,0.242639898487587,-0.0374999999999998,British Columbia,2023,3,43.0,34.2,22.8
21,21,-1.2291928280793396,-0.1423695797875768,0.0069055034839993,0.4678785783515405,0.1681709342642534,0.3320005400005561,-0.2378828426999693,0.0461509438187179,0.7003289024811452,0.0074999999999998,Manitoba,2021,2,43.2,33.2,23.6
22,22,1.2291928280793396,-0.2476633862050781,-0.0034877994501909,0.3755094023576022,0.6098891932348393,0.243831282993654,-0.3280481137233462,-0.0042372944756945,0.1372327346973976,-0.0049999999999998,Manitoba,2021,3,48.2,35.1,16.8
23,23,-0.4282595528988615,0.8429071386690132,-0.0110535762604739,0.3067693792001884,0.5210829403847548,0.3324065416822441,-0.2016129032258069,-0.027988909903438,-1.4917894190659005,-1.1102230246251563e-16,Manitoba,2021,4,46.0,34.1,19.8
24,24,-0.1124817580963473,0.4887092827883299,-0.0001250456213779,-0.077021956654031,0.1180293151988965,-0.2032551576135211,0.0992063492063488,-0.1304170955012471,-1.7913879672396282,0.035,Manitoba,2022,1,48.8,32.2,19.1
25,25,-1.4000682358340075,-0.3156045698555278,0.0074160381859627,0.0206852193092637,-0.1180293151988965,0.0,0.0,-0.0686375685732678,-2.279948936901376,-0.005,Manitoba,2022,2,43.9,38.8,17.3
26,26,-3.2730312905121317,-0.0213131407319588,0.0162468311911296,0.1057603262092078,0.0,-0.2534231929405739,0.102406554019458,-0.0398603492761688,-1.9221783977658424,0.01,Manitoba,2022,3,49.2,34.2,16.7
27,27,1.133075521784602,-0.6706078063594192,0.008705414796289,0.1030172539730935,0.1180293151988965,-0.1776229387347793,0.0,0.0018467225747484,-0.1512756234296457,-0.0075,Manitoba,2022,4,46.2,33.1,20.6
28,28,-0.1681789608369195,-0.7737773184659569,-0.0069753963311298,0.0170169255113048,-0.3683699700802635,-0.1127933404280667,-0.102406554019458,0.0200920001015056,0.2294246564016313,0.005,Manitoba,2023,1,46.6,32.1,21.3
29,29,0.4937243423295268,0.12650796975,-0.0034885230468659,-0.0009446178125576,-0.2707422855033878,-0.0547685360010587,0.0,0.0450805451121936,0.2382680635882981,-0.0025,Manitoba,2023,2,46.9,31.1,22.0
30,30,3.225778239910266,0.3647499703756329,0.0246510766879213,-0.2128336589485661,0.1380277521094828,0.4067213473780795,-0.0992063492063488,0.2319208213189791,1.2794724223882203,-0.03,Manitoba,2023,3,42.2,34.0,23.8
31,31,1.8742072949554576,-0.0356765477827092,0.0301619601779101,-0.2256988282450016,0.2603309425600561,0.5372588549358572,0.0,0.1812929265232323,2.279798734431762,-0.0025,New Brunswick,2021,2,46.9,37.8,15.2
32,32,1.022060938224156,0.0476360947518017,0.0196520036500045,-0.2751101564690188,0.4634749965849961,0.2235619439116484,-0.3676470588235299,0.1184816036306812,1.6816219569971689,-0.0024999999999999,New Brunswick,2021,3,51.9,31.5,16.6
33,33,1.5276933410607274,0.7904908061508975,0.0153355451176027,-0.3386251686762823,0.3969001222392607,0.1562480084335021,-0.4029008863819499,0.0691621478303075,0.7289402940621357,-1.3877787807814454e-16,New Brunswick,2021,4,44.8,35.5,19.7
34,34,0.2401993377226059,0.40632328066737,0.0094611179485479,-0.0490705458915892,0.0,-0.1562480084335021,0.0,-0.0757863758541534,-0.196758321788121,0.0325000000000001,New Brunswick,2022,1,46.7,35.8,17.5
35,35,0.3380259574359225,-0.5285134294134322,0.0182053347693984,0.0507234562795448,-0.1907932389806025,0.0773868195833503,0.1543507621068878,-0.083114906707848,-1.344751445170929,0.0024999999999999,New Brunswick,2022,2,44.9,34.9,20.1
36,36,0.7747218479348206,-0.1254715867420988,0.0280203464081678,0.1334228027574223,0.0972337949278331,0.0,0.248550124275062,-0.0396652564026436,-0.9640075881441326,-0.0025,New Brunswick,2022,3,51.7,34.8,13.5
37,37,-0.3146052731064763,-0.5097666114615207,0.01940190152323,0.127025320305547,0.0,-0.0773868195833503,0.1782531194295904,-0.0485589770333927,0.0975489407034859,0.0025,New Brunswick,2022,4,41.0,34.7,24.3
38,38,-0.0530182015324598,-0.5305661576242736,0.0031768661963091,0.0477260141859157,-0.3033406781864913,-0.0759374090067378,-0.0904568068747178,-0.0171362822551233,0.1363232196494248,0.0,New Brunswick,2023,1,44.3,35.2,20.5
39,39,0.7201264686357582,0.4801622787614279,-0.0107403229698188,-0.0386318649778195,-0.1091981588597959,-0.3587932454187977,-0.3363464368299338,0.0177428943210407,0.1126643284554389,-0.0025,New Brunswick,2023,2,47.6,35.7,16.7
40,40,0.9271854384720192,0.2134336838073293,-0.0335760730704883,0.1153045332952264,-0.4818932468913512,0.6713395630237774,0.0804828973843054,0.1884679815066807,0.2447923766842259,-0.015,New Brunswick,2023,3,46.6,31.8,21.6
41,41,0.6770267165713086,-0.1833780567523981,-0.0325481888312257,0.085392533757081,-0.132714533393905,0.5151281138627914,0.082815734989647,0.1947172066385554,0.94175570580422,0.0,Newfoundland and Labrador,2021,2,46.6,37.2,16.2
42,42,1.2608069707757146,-0.1686395279944572,-0.0459561172895244,0.0237305934714425,0.5010845034741686,0.6782984590146977,0.2635046113307,0.1351320124782553,0.7016348893947377,-0.01,Newfoundland and Labrador,2021,3,57.0,30.2,12.8
43,43,0.6680097938889986,0.6872677482816338,-0.0396193561092721,0.0287371699044884,0.0,0.428687080253515,-8.881784197001252e-16,0.1174218292229816,-0.131267055848828,0.01,Newfoundland and Labrador,2021,4,52.5,29.4,18.1
44,44,-0.3711393701255474,0.4452811621951158,0.0002772729923288,-0.0679046857500794,0.3277677773809759,-0.3244419224294428,0.0,-0.0460002253065936,-0.3486581883600363,0.0100000000000001,Newfoundland and Labrador,2022,1,49.8,34.5,15.7
45,45,0.3711393701255474,-0.4798433004369786,0.0070924825762817,0.0260420907145793,0.1010605415485573,-0.5025586518196903,0.0932400932400945,-0.0610029719334024,-1.02499924829175,0.0124999999999999,Newfoundland and Labrador,2022,2,52.0,29.0,19.0
