,Actual,Predicted,Lower_CI,Upper_CI
0,45.9,45.9,,
1,49.4,49.4,,
2,44.7,44.7,,
3,46.1,46.1,,
4,47.5,47.5,,
5,50.1,50.1,,
6,41.7,41.7,,
7,49.7,49.7,,
8,44.8,44.8,,
9,42.8,42.8,,
10,45.5,45.5,,
11,49.1,49.1,,
12,44.6,44.6,,
13,44.8,44.8,,
14,45.1,45.1,,
15,43.0,43.0,,
16,43.2,43.2,,
17,48.2,48.2,,
18,46.0,46.0,,
19,48.8,48.8,,
20,43.9,43.9,,
21,49.2,49.2,,
22,46.2,46.2,,
23,46.6,46.6,,
24,46.9,46.9,,
25,42.2,42.2,,
26,46.9,46.9,,
27,51.9,51.9,,
28,44.8,44.8,,
29,46.7,46.7,,
30,44.9,44.9,,
31,51.7,51.7,,
32,41.0,41.0,,
33,44.3,44.3,,
34,47.6,47.6,,
35,46.6,46.6,,
36,46.6,46.6,,
37,57.0,57.0,,
38,52.5,52.5,,
39,49.8,49.8,,
40,52.0,52.0,,
41,50.2,50.2,,
42,46.9,46.9,,
43,48.4,48.4,,
44,49.9,49.9,,
45,50.6,50.6,,
46,47.0,47.0,,
47,50.8,50.8,,
48,37.6,37.6,,
49,39.0,39.0,,
50,46.2,46.2,,
51,51.1,51.1,,
52,41.6,41.6,,
53,42.4,42.4,,
54,43.1,43.1,,
55,37.3,37.3,,
56,38.7,38.7,,
57,48.3,48.3,,
58,45.8,45.8,,
59,44.9,44.9,,
60,45.6,45.6,,
61,52.1,52.1,,
62,44.6,44.6,,
63,45.0,45.0,,
64,45.3,45.3,,
65,44.1,44.1,,
66,48.7,48.7,,
67,52.1,52.1,,
68,52.2,52.2,,
69,53.2,53.2,,
70,49.8,49.8,,
71,56.7,56.7,,
72,47.0,47.0,,
73,44.3,44.3,,
74,41.6,41.6,,
75,48.8,48.8,,
76,53.0,47.240744531784756,39.85082541054842,54.630663653021095
77,62.0,45.81707809583458,37.61015931242724,54.02399687924192
78,58.9,46.60629523131916,36.70196804875539,56.51062241388293
79,55.8,48.93544042294226,38.046958953831,59.82392189205351
80,56.8,50.14571124228602,37.99086323026764,62.300559254304396
81,67.6,48.89070803394076,35.767362117568695,62.01405395031283
82,59.1,46.12598172797723,32.0163402036149,60.235623252339565
83,59.2,45.39526684733996,30.405312192953147,60.385221501726775
84,59.2,43.98293528851194,28.13600802281964,59.82986255420424
85,55.8,43.50344511585611,26.85618209969533,60.15070813201689
86,42.3,39.64554370072653,22.228472182680818,57.06261521877224
87,48.6,41.28426293060388,23.133085788659617,59.43544007254815
88,47.2,39.82000213347604,20.96152637921781,58.67847788773427
89,46.9,46.175147890407665,26.635832605272597,65.71446317554273
90,47.4,49.737508087148754,29.5398541906565,69.93516198364101
91,45.6,49.17272809858986,28.337745963120177,70.00771023405954
92,41.8,46.14030049499722,24.686796416884654,67.5938045731098
93,43.3,45.268607482386926,23.213980805000954,67.3232341597729
94,44.8,45.69573692375005,23.055912693057685,68.33556115444242
