,Actual,Predicted,Lower_CI,Upper_CI
0,23.0,23.0,,
1,18.0,18.0,,
2,19.7,19.7,,
3,20.2,20.2,,
4,20.8,20.8,,
5,19.4,19.4,,
6,23.3,23.3,,
7,17.9,17.9,,
8,23.8,23.8,,
9,23.0,23.0,,
10,21.6,21.6,,
11,18.8,18.8,,
12,24.0,24.0,,
13,23.4,23.4,,
14,22.7,22.7,,
15,22.8,22.8,,
16,23.6,23.6,,
17,16.8,16.8,,
18,19.8,19.8,,
19,19.1,19.1,,
20,17.3,17.3,,
21,16.7,16.7,,
22,20.6,20.6,,
23,21.3,21.3,,
24,22.0,22.0,,
25,23.8,23.8,,
26,15.2,15.2,,
27,16.6,16.6,,
28,19.7,19.7,,
29,17.5,17.5,,
30,20.1,20.1,,
31,13.5,13.5,,
32,24.3,24.3,,
33,20.5,20.5,,
34,16.7,16.7,,
35,21.6,21.6,,
36,16.2,16.2,,
37,12.8,12.8,,
38,18.1,18.1,,
39,15.7,15.7,,
40,19.0,19.0,,
41,18.6,18.6,,
42,20.8,20.8,,
43,18.8,18.8,,
44,16.7,16.7,,
45,19.0,19.0,,
46,23.7,23.7,,
47,19.2,19.2,,
48,25.7,25.7,,
49,24.4,24.4,,
50,23.7,23.7,,
51,19.9,19.9,,
52,20.2,20.2,,
53,23.7,23.7,,
54,27.2,27.2,,
55,24.0,24.0,,
56,24.7,24.7,,
57,20.6,20.6,,
58,22.0,22.0,,
59,21.5,21.5,,
60,22.7,22.7,,
61,16.4,16.4,,
62,23.0,23.0,,
63,22.0,22.0,,
64,21.1,21.1,,
65,22.1,22.1,,
66,18.1,18.1,,
67,16.4,16.4,,
68,18.1,18.1,,
69,15.1,15.1,,
70,17.7,17.7,,
71,12.2,12.2,,
72,20.6,20.6,,
73,21.4,21.4,,
74,22.2,22.2,,
75,17.5,17.5,,
76,12.7,21.443593964776515,16.366274473468934,26.520913456084095
77,8.7,21.51586160633266,16.365653508419342,26.666069704245977
78,11.1,22.096762729356627,16.537959335540965,27.65556612317229
79,13.0,15.62190316040412,9.797818222124686,21.445988098683554
80,11.3,16.336305116842222,10.142024915121393,22.530585318563052
81,8.4,15.50568297051445,9.03744163207288,21.97392430895602
82,12.3,18.5012446023578,11.755728963057724,25.246760241657878
83,11.6,17.41553193815393,10.40641407968285,24.42464979662501
84,10.8,21.13143871348771,13.79220006536922,28.4706773616062
85,12.3,18.71525742818726,11.117528236003817,26.312986620370705
86,21.8,21.61340403989807,13.758361730015874,29.46844634978027
87,16.4,18.625513795066983,10.522221144386352,26.728806445747615
88,20.7,21.661464415070753,13.24832123831815,30.07460759182336
89,18.9,18.39190402647703,9.731080454218352,27.052727598735707
90,19.6,16.898618247947795,7.993238037008032,25.803998458887556
91,12.7,15.473381399666179,6.3300093209965205,24.616753478335838
92,23.0,19.75052117583847,10.31121312550204,29.189829226174897
93,20.6,18.910676233694222,9.23095157307955,28.590400894308893
94,18.2,19.765307911606154,9.850026796956161,29.680589026256147
