,Actual,Predicted,Lower_CI,Upper_CI
0,31.1,31.1,,
1,32.6,32.6,,
2,35.6,35.6,,
3,33.6,33.6,,
4,31.7,31.7,,
5,30.5,30.5,,
6,35.0,35.0,,
7,32.4,32.4,,
8,31.4,31.4,,
9,34.2,34.2,,
10,32.9,32.9,,
11,32.1,32.1,,
12,31.4,31.4,,
13,31.8,31.8,,
14,32.1,32.1,,
15,34.2,34.2,,
16,33.2,33.2,,
17,35.1,35.1,,
18,34.1,34.1,,
19,32.2,32.2,,
20,38.8,38.8,,
21,34.2,34.2,,
22,33.1,33.1,,
23,32.1,32.1,,
24,31.1,31.1,,
25,34.0,34.0,,
26,37.8,37.8,,
27,31.5,31.5,,
28,35.5,35.5,,
29,35.8,35.8,,
30,34.9,34.9,,
31,34.8,34.8,,
32,34.7,34.7,,
33,35.2,35.2,,
34,35.7,35.7,,
35,31.8,31.8,,
36,37.2,37.2,,
37,30.2,30.2,,
38,29.4,29.4,,
39,34.5,34.5,,
40,29.0,29.0,,
41,31.2,31.2,,
42,32.3,32.3,,
43,32.8,32.8,,
44,33.4,33.4,,
45,30.5,30.5,,
46,29.3,29.3,,
47,30.0,30.0,,
48,36.7,36.7,,
49,36.6,36.6,,
50,30.1,30.1,,
51,29.0,29.0,,
52,38.2,38.2,,
53,34.0,34.0,,
54,29.8,29.8,,
55,38.7,38.7,,
56,36.7,36.7,,
57,31.1,31.1,,
58,32.1,32.1,,
59,33.6,33.6,,
60,31.7,31.7,,
61,31.5,31.5,,
62,32.4,32.4,,
63,33.0,33.0,,
64,33.5,33.5,,
65,33.8,33.8,,
66,33.1,33.1,,
67,31.4,31.4,,
68,29.7,29.7,,
69,31.7,31.7,,
70,32.5,32.5,,
71,31.0,31.0,,
72,32.5,32.5,,
73,34.4,34.4,,
74,36.2,36.2,,
75,33.7,33.7,,
76,34.3,34.85374099555093,28.831105388650016,40.87637660245184
77,29.2,34.887792447837015,26.38779976942004,43.38778512625399
78,30.0,33.64407072893551,23.2548649279681,44.03327652990292
79,31.1,33.55235197230599,21.5802312445536,45.52447270005838
80,31.8,32.52131488773497,19.218655450353594,45.82397432511634
81,24.0,32.5503287967489,18.04802310982811,47.05263448366969
82,28.6,33.735689473512124,18.134335156474336,49.33704379054991
83,29.3,33.81503746484092,17.19519677944053,50.43487815024131
84,30.0,33.638668877042946,16.065969051432557,51.21136870265333
85,32.0,34.208625475245945,15.739299228416144,52.67795172207575
86,35.9,34.941105549380644,15.623498313746666,54.25871278501462
87,35.0,34.075752573549586,13.952042180461245,54.199462966637924
88,32.1,32.98100145435252,12.088447440823085,53.87355546788196
89,34.1,31.52034793944606,9.892173004434834,53.148522874457285
90,32.9,30.731254581575836,8.397351857525937,53.06515730562573
91,41.7,30.83203968209658,7.81950715264939,53.84457221154376
92,35.2,32.18280105040679,8.516362042191222,55.84924005862236
93,36.1,32.21293111424014,7.915271330330192,56.51059089815009
94,37.0,31.92057506855075,7.012615071933659,56.82853506516784
