,Actual,Predicted,Lower_CI,Upper_CI
0,45.9,45.9,,
1,49.4,49.4,,
2,44.7,44.7,,
3,46.1,46.1,,
4,47.5,47.5,,
5,50.1,50.1,,
6,41.7,41.7,,
7,49.7,49.7,,
8,44.8,44.8,,
9,42.8,42.8,,
10,45.5,45.5,,
11,49.1,49.1,,
12,44.6,44.6,,
13,44.8,44.8,,
14,45.1,45.1,,
15,43.0,43.0,,
16,43.2,43.2,,
17,48.2,48.2,,
18,46.0,46.0,,
19,48.8,48.8,,
20,43.9,43.9,,
21,49.2,49.2,,
22,46.2,46.2,,
23,46.6,46.6,,
24,46.9,46.9,,
25,42.2,42.2,,
26,46.9,46.9,,
27,51.9,51.9,,
28,44.8,44.8,,
29,46.7,46.7,,
30,44.9,44.9,,
31,51.7,51.7,,
32,41.0,41.0,,
33,44.3,44.3,,
34,47.6,47.6,,
35,46.6,46.6,,
36,46.6,46.6,,
37,57.0,57.0,,
38,52.5,52.5,,
39,49.8,49.8,,
40,52.0,52.0,,
41,50.2,50.2,,
42,46.9,46.9,,
43,48.4,48.4,,
44,49.9,49.9,,
45,50.6,50.6,,
46,47.0,47.0,,
47,50.8,50.8,,
48,37.6,37.6,,
49,39.0,39.0,,
50,46.2,46.2,,
51,51.1,51.1,,
52,41.6,41.6,,
53,42.4,42.4,,
54,43.1,43.1,,
55,37.3,37.3,,
56,38.7,38.7,,
57,48.3,48.3,,
58,45.8,45.8,,
59,44.9,44.9,,
60,45.6,45.6,,
61,52.1,52.1,,
62,44.6,44.6,,
63,45.0,45.0,,
64,45.3,45.3,,
65,44.1,44.1,,
66,48.7,48.7,,
67,52.1,52.1,,
68,52.2,52.2,,
69,53.2,53.2,,
70,49.8,49.8,,
71,56.7,56.7,,
72,47.0,47.0,,
73,44.3,44.3,,
74,41.6,41.6,,
75,48.8,48.8,,
76,53.0,47.590121586221656,40.624052835669715,54.5561903367736
77,62.0,46.97514782072066,39.8579613981498,54.09233424329152
78,58.9,48.1891750098616,40.83146843263053,55.54688158709267
79,55.8,47.71985769588734,40.13658727128146,55.30312812049322
80,56.8,48.94610694730242,41.14326752173473,56.74894637287011
81,67.6,48.77762063983175,40.761261628147786,56.79397965151572
82,59.1,46.648826134742635,38.42448633441306,54.87316593507221
83,59.2,46.09395110006023,37.66676205514423,54.52114014497623
84,59.2,46.251563536229845,37.6262945265067,54.87683254595299
85,55.8,44.95984660135284,36.140945549441405,53.77874765326427
86,42.3,43.531581066739264,34.52320906964397,52.53995306383456
87,48.6,45.24613907755343,36.05219997004361,54.44007818506325
88,47.2,46.37612396767058,37.000289786801474,55.751958148539686
89,46.9,48.31468327320035,38.76041632791837,57.86895021848233
90,47.4,49.140784448078904,39.411356554504565,58.87021234165324
91,45.6,49.26964059404244,39.36814992794489,59.171131260139994
92,41.8,46.732025842199974,36.66141177525394,56.80263990914601
93,43.3,46.42811073987532,36.1911669596289,56.66505452012174
94,44.8,46.49122764680639,36.09061380749477,56.891841486118004
