,Actual,Predicted,Lower_CI,Upper_CI
0,23.0,23.0,,
1,18.0,18.0,,
2,19.7,19.7,,
3,20.2,20.2,,
4,20.8,20.8,,
5,19.4,19.4,,
6,23.3,23.3,,
7,17.9,17.9,,
8,23.8,23.8,,
9,23.0,23.0,,
10,21.6,21.6,,
11,18.8,18.8,,
12,24.0,24.0,,
13,23.4,23.4,,
14,22.7,22.7,,
15,22.8,22.8,,
16,23.6,23.6,,
17,16.8,16.8,,
18,19.8,19.8,,
19,19.1,19.1,,
20,17.3,17.3,,
21,16.7,16.7,,
22,20.6,20.6,,
23,21.3,21.3,,
24,22.0,22.0,,
25,23.8,23.8,,
26,15.2,15.2,,
27,16.6,16.6,,
28,19.7,19.7,,
29,17.5,17.5,,
30,20.1,20.1,,
31,13.5,13.5,,
32,24.3,24.3,,
33,20.5,20.5,,
34,16.7,16.7,,
35,21.6,21.6,,
36,16.2,16.2,,
37,12.8,12.8,,
38,18.1,18.1,,
39,15.7,15.7,,
40,19.0,19.0,,
41,18.6,18.6,,
42,20.8,20.8,,
43,18.8,18.8,,
44,16.7,16.7,,
45,19.0,19.0,,
46,23.7,23.7,,
47,19.2,19.2,,
48,25.7,25.7,,
49,24.4,24.4,,
50,23.7,23.7,,
51,19.9,19.9,,
52,20.2,20.2,,
53,23.7,23.7,,
54,27.2,27.2,,
55,24.0,24.0,,
56,24.7,24.7,,
57,20.6,20.6,,
58,22.0,22.0,,
59,21.5,21.5,,
60,22.7,22.7,,
61,16.4,16.4,,
62,23.0,23.0,,
63,22.0,22.0,,
64,21.1,21.1,,
65,22.1,22.1,,
66,18.1,18.1,,
67,16.4,16.4,,
68,18.1,18.1,,
69,15.1,15.1,,
70,17.7,17.7,,
71,12.2,12.2,,
72,20.6,20.6,,
73,21.4,21.4,,
74,22.2,22.2,,
75,17.5,17.5,,
76,12.7,19.903653619826756,14.882810202634657,24.924497037018853
77,8.7,19.83106258592966,14.781344011149272,24.88078116071005
78,11.1,20.588849759026616,15.174345828175888,26.003353689877343
79,13.0,17.879825072556276,12.25767182581508,23.50197831929747
80,11.3,17.928989710755065,11.988668722759577,23.869310698750553
81,8.4,16.874581983699255,10.711046160631337,23.038117806767172
82,12.3,19.547666762350378,13.151487546634154,25.9438459780666
83,11.6,18.909282671346915,12.29239496053557,25.526170382158263
84,10.8,21.39194705025733,14.489158708136678,28.29473539237798
85,12.3,20.397261158760145,13.27845040581687,27.51607191170342
86,21.8,22.50618852339354,15.168555534747965,29.843821512039113
87,16.4,19.031792650713566,11.483151504624594,26.580433796802538
88,20.7,22.026934975262,14.20686647960284,29.847003470921162
89,18.9,18.84367452094231,10.8139167690823,26.873432272802322
90,19.6,18.31969826827017,10.079993998172643,26.559402538367696
91,12.7,16.16180437982279,7.717899911428971,24.605708848216608
92,23.0,20.245116904908425,11.540034058800892,28.95019975101596
93,20.6,19.430099859004915,10.51964330389749,28.340556414112342
94,18.2,21.003242399079966,11.889274687826838,30.117210110333094
