Province,YEAR,QUARTER,Quarterly Avg Temp (°C),Quarterly Sum Precip (mm),CPI Average,CPI value Cumulative ,CPI Compounded,Excellent_Very_Good,Good,Fair_Poor,Debt_to_Asset_Ratio,Mortgage_Debt_to_Real_Estate_Ratio,Depression,Anxiety,Mental Health Help,Therapy,Stress,Unemployment Rate
Alberta,2021,2,9.71,76,0.4519385572025284,0.8124576844956108,1.3614703880190593,41.1,34.3,24.6,0.1805766882102461,0.3354394590252555,0.17,0.35,<1%,0.35,0.13,8.7
Alberta,2021,3,16.42,155,0.4245044021056225,0.332667997,1.2760241773001946,49,33.6,17.4,0.1768480621471411,0.3195585005299368,0.16,0.36,<1%,0.35,0.13,8.066666667
Alberta,2021,4,-1.49,50,0.1987202142594697,0.1320132013201245,0.5968169761273012,43.7,31.3,25,0.1687507522376317,0.29873985,0.17,0.35,<1%,0.34,0.14,7.366666667
Alberta,2022,1,-2.69,35,1.044059728721643,2.421465969,3.1641397495056234,46.3,32.3,21.4,0.1681294613531058,0.2901804292609192,0.16,0.32,<1%,0.37,0.15,6.6
Alberta,2022,2,8.29,191,1.0342240836601329,2.8025477707006403,3.1309904153354884,45.9,31.1,23,0.1781883514852017,0.3124111290925252,0.17,0.32,<1%,0.37,0.14,5.733333333
Alberta,2022,3,17.12,106,-0.268303387,-0.805452292,-0.805452292,49.4,32.6,18,0.1813954649443558,0.3269875924170995,0.15,0.33,<1%,0.38,0.14,5.3
Alberta,2022,4,-2.73,80,0.1477258176717881,-0.618046972,0.4372267332916957,44.7,35.6,19.7,0.1789134516108424,0.3310559814018516,0.16,0.3,<1%,0.4,0.14,5.633333333
Alberta,2023,1,-5.08,66,0.1878623474670937,0.747663551,0.5597014925373234,46.1,33.6,20.2,0.1724943310771028,0.3192207228249784,0.15,0.31,<1%,0.4,0.14,5.9
Alberta,2023,2,11.91,105,0.554674385,0.4276114844227349,1.6697588126159737,47.5,31.7,20.8,0.171209253,0.3159010883482714,0.14,0.3,<1%,0.42,0.14,5.766666667
Alberta,2023,3,16.72,110,0.3251824712071008,0,0.9732360097323812,50.1,30.5,19.4,0.1753783117054458,0.3239484697881245,0.14,0.33,<1%,0.4,0.13,5.5
British Columbia,2021,2,12.68,105,0.2221857237610739,0.4437869822485375,0.6671608598962209,41.7,35,23.3,0.1412640079880078,0.1927921418299289,0.17,0.34,<1%,0.35,0.14,6.9
British Columbia,2021,3,17.82,193,0.3427277975367904,0.365764448,1.0309278350515203,49.7,32.4,17.9,0.1399836421807218,0.1876839655743938,0.17,0.37,<1%,0.32,0.14,6.366666667
British Columbia,2021,4,5.88,567,0.1942751392709126,0.072516316,0.5830903790087438,44.8,31.4,23.8,0.1355106415592272,0.1794703297776886,0.18,0.35,<1%,0.33,0.14,5.466666667
British Columbia,2022,1,5.27,361,1.194568240084215,2.582496413199422,3.623188405797073,42.8,34.2,23,0.135855768,0.176463795,0.18,0.33,<1%,0.35,0.14,5
British Columbia,2022,2,11.58,254,0.8101867807615237,1.595006934812768,2.447552447552437,45.5,32.9,21.6,0.1471929493042275,0.1932677711250405,0.18,0.33,<1%,0.36,0.13,4.666666667
British Columbia,2022,3,17.05,42,0.2961889547850075,0.1355013550135617,0.8873720136518992,49.1,32.1,18.8,0.152355187,0.2042763676321227,0.16,0.33,<1%,0.38,0.13,4.533333333
British Columbia,2022,4,5.66,386,-0.156807071,-1.009421265,-0.473612991,44.6,31.4,24,0.1520664931943831,0.2077714532867175,0.18,0.29,<1%,0.39,0.14,4.4
British Columbia,2023,1,5.13,232,0.5858145288462216,1.0803511141120827,1.7675050985724194,44.8,31.8,23.4,0.1472877507593866,0.2014285983527771,0.18,0.3,<1%,0.39,0.13,4.766666667
British Columbia,2023,2,12.69,134,0.4212963446659075,0.7978723404255244,1.2692050768203125,45.1,32.1,22.7,0.1466329625585968,0.1997267171072233,0.16,0.31,<1%,0.39,0.14,5.233333333
British Columbia,2023,3,17.57,89,0.241359067,0.3944773175542369,0.7255936675461871,43,34.2,22.8,0.1508785106606984,0.2058473393493931,0.14,0.31,<1%,0.41,0.14,5.35
Manitoba,2021,2,10.51,83,0.5463772295331829,0.9246088193456696,1.6475644699140537,43.2,33.2,23.6,0.1534752835847582,0.342623243,0.19,0.38,,0.27,0.16,7.233333333
Manitoba,2021,3,18.2,124,0.3978970417384116,0.5602240896358424,1.1980267794221122,48.2,35.1,16.8,0.151433435,0.3275978216388076,0.19,0.36,,0.3,0.15,5.833333333
