Province,YEAR,QUARTER,Variable,Value,YearQuarter
Alberta,2021,2,Anxiety,0.35,2021-Q2
Alberta,2021,3,Anxiety,0.36,2021-Q3
Alberta,2021,4,Anxiety,0.35,2021-Q4
Alberta,2022,1,Anxiety,0.32,2022-Q1
Alberta,2022,2,Anxiety,0.32,2022-Q2
Alberta,2022,3,Anxiety,0.33,2022-Q3
Alberta,2022,4,Anxiety,0.3,2022-Q4
Alberta,2023,1,Anxiety,0.31,2023-Q1
Alberta,2023,2,Anxiety,0.3,2023-Q2
Alberta,2023,3,Anxiety,0.33,2023-Q3
British Columbia,2021,2,Anxiety,0.34,2021-Q2
British Columbia,2021,3,Anxiety,0.37,2021-Q3
British Columbia,2021,4,Anxiety,0.35,2021-Q4
British Columbia,2022,1,Anxiety,0.33,2022-Q1
British Columbia,2022,2,Anxiety,0.33,2022-Q2
British Columbia,2022,3,Anxiety,0.33,2022-Q3
British Columbia,2022,4,Anxiety,0.29,2022-Q4
British Columbia,2023,1,Anxiety,0.3,2023-Q1
British Columbia,2023,2,Anxiety,0.31,2023-Q2
British Columbia,2023,3,Anxiety,0.31,2023-Q3
Manitoba,2021,2,Anxiety,0.38,2021-Q2
Manitoba,2021,3,Anxiety,0.36,2021-Q3
Manitoba,2021,4,Anxiety,0.35,2021-Q4
Manitoba,2022,1,Anxiety,0.36,2022-Q1
Manitoba,2022,2,Anxiety,0.35,2022-Q2
Manitoba,2022,3,Anxiety,0.36,2022-Q3
Manitoba,2022,4,Anxiety,0.31,2022-Q4
Manitoba,2023,1,Anxiety,0.33,2023-Q1
Manitoba,2023,2,Anxiety,0.33,2023-Q2
Manitoba,2023,3,Anxiety,0.35,2023-Q3
New Brunswick,2021,2,Anxiety,0.38,2021-Q2
New Brunswick,2021,3,Anxiety,0.41,2021-Q3
New Brunswick,2021,4,Anxiety,0.36,2021-Q4
New Brunswick,2022,1,Anxiety,0.37,2022-Q1
New Brunswick,2022,2,Anxiety,0.36,2022-Q2
New Brunswick,2022,3,Anxiety,0.42,2022-Q3
New Brunswick,2022,4,Anxiety,0.36,2022-Q4
New Brunswick,2023,1,Anxiety,0.36,2023-Q1
New Brunswick,2023,2,Anxiety,0.35,2023-Q2
New Brunswick,2023,3,Anxiety,0.37,2023-Q3
Newfoundland and Labrador,2021,2,Anxiety,0.45,2021-Q2
Newfoundland and Labrador,2021,3,Anxiety,0.42,2021-Q3
Newfoundland and Labrador,2021,4,Anxiety,0.42,2021-Q4
Newfoundland and Labrador,2022,1,Anxiety,0.41,2022-Q1
Newfoundland and Labrador,2022,2,Anxiety,0.42,2022-Q2
Newfoundland and Labrador,2022,3,Anxiety,0.37,2022-Q3
Newfoundland and Labrador,2022,4,Anxiety,0.38,2022-Q4
Newfoundland and Labrador,2023,1,Anxiety,0.38,2023-Q1
Newfoundland and Labrador,2023,2,Anxiety,0.36,2023-Q2
Newfoundland and Labrador,2023,3,Anxiety,0.41,2023-Q3
Nova Scotia,2021,2,Anxiety,0.4,2021-Q2
Nova Scotia,2021,3,Anxiety,0.43,2021-Q3
Nova Scotia,2021,4,Anxiety,0.37,2021-Q4
Nova Scotia,2022,1,Anxiety,0.37,2022-Q1
Nova Scotia,2022,2,Anxiety,0.36,2022-Q2
Nova Scotia,2022,3,Anxiety,0.36,2022-Q3
Nova Scotia,2022,4,Anxiety,0.34,2022-Q4
Nova Scotia,2023,1,Anxiety,0.36,2023-Q1
Nova Scotia,2023,2,Anxiety,0.35,2023-Q2
Nova Scotia,2023,3,Anxiety,0.36,2023-Q3
Ontario,2021,2,Anxiety,0.38,2021-Q2
Ontario,2021,3,Anxiety,0.37,2021-Q3
Ontario,2021,4,Anxiety,0.35,2021-Q4
Ontario,2022,1,Anxiety,0.33,2022-Q1
Ontario,2022,2,Anxiety,0.33,2022-Q2
Ontario,2022,3,Anxiety,0.34,2022-Q3
Ontario,2022,4,Anxiety,0.32,2022-Q4
Ontario,2023,1,Anxiety,0.32,2023-Q1
Ontario,2023,2,Anxiety,0.3,2023-Q2
Ontario,2023,3,Anxiety,0.31,2023-Q3
Prince Edward Island,2021,2,Anxiety,0.41,2021-Q2
Prince Edward Island,2021,3,Anxiety,0.47,2021-Q3
Prince Edward Island,2021,4,Anxiety,0.37,2021-Q4
Prince Edward Island,2022,1,Anxiety,0.4,2022-Q1
Prince Edward Island,2022,2,Anxiety,0.39,2022-Q2
Prince Edward Island,2022,3,Anxiety,0.42,2022-Q3
Prince Edward Island,2022,4,Anxiety,0.38,2022-Q4
Prince Edward Island,2023,1,Anxiety,0.37,2023-Q1
Prince Edward Island,2023,2,Anxiety,0.35,2023-Q2
Prince Edward Island,2023,3,Anxiety,0.41,2023-Q3
Quebec,2021,2,Anxiety,0.23,2021-Q2
Quebec,2021,3,Anxiety,0.25,2021-Q3
Quebec,2021,4,Anxiety,0.24,2021-Q4
Quebec,2022,1,Anxiety,0.23,2022-Q1
Quebec,2022,2,Anxiety,0.22,2022-Q2
Quebec,2022,3,Anxiety,0.25,2022-Q3
Quebec,2022,4,Anxiety,0.21,2022-Q4
Quebec,2023,1,Anxiety,0.21,2023-Q1
Quebec,2023,2,Anxiety,0.21,2023-Q2
Quebec,2023,3,Anxiety,0.23,2023-Q3
Saskatchewan,2021,2,Anxiety,0.36,2021-Q2
Saskatchewan,2021,3,Anxiety,0.4,2021-Q3
Saskatchewan,2021,4,Anxiety,0.36,2021-Q4
Saskatchewan,2022,1,Anxiety,0.36,2022-Q1
Saskatchewan,2022,2,Anxiety,0.34,2022-Q2
Saskatchewan,2022,3,Anxiety,0.36,2022-Q3
Saskatchewan,2022,4,Anxiety,0.34,2022-Q4
Saskatchewan,2023,1,Anxiety,0.32,2023-Q1
Saskatchewan,2023,2,Anxiety,0.32,2023-Q2
Saskatchewan,2023,3,Anxiety,0.35,2023-Q3
Alberta,2021,2,Depression,0.17,2021-Q2
Alberta,2021,3,Depression,0.16,2021-Q3
Alberta,2021,4,Depression,0.17,2021-Q4
Alberta,2022,1,Depression,0.16,2022-Q1
Alberta,2022,2,Depression,0.17,2022-Q2
Alberta,2022,3,Depression,0.15,2022-Q3
Alberta,2022,4,Depression,0.16,2022-Q4
Alberta,2023,1,Depression,0.15,2023-Q1
Alberta,2023,2,Depression,0.14,2023-Q2
Alberta,2023,3,Depression,0.14,2023-Q3
British Columbia,2021,2,Depression,0.17,2021-Q2
British Columbia,2021,3,Depression,0.17,2021-Q3
British Columbia,2021,4,Depression,0.18,2021-Q4
British Columbia,2022,1,Depression,0.18,2022-Q1
British Columbia,2022,2,Depression,0.18,2022-Q2
British Columbia,2022,3,Depression,0.16,2022-Q3
British Columbia,2022,4,Depression,0.18,2022-Q4
British Columbia,2023,1,Depression,0.18,2023-Q1
British Columbia,2023,2,Depression,0.16,2023-Q2
British Columbia,2023,3,Depression,0.14,2023-Q3
Manitoba,2021,2,Depression,0.19,2021-Q2
Manitoba,2021,3,Depression,0.19,2021-Q3
Manitoba,2021,4,Depression,0.2,2021-Q4
Manitoba,2022,1,Depression,0.18,2022-Q1
Manitoba,2022,2,Depression,0.2,2022-Q2
Manitoba,2022,3,Depression,0.18,2022-Q3
Manitoba,2022,4,Depression,0.2,2022-Q4
Manitoba,2023,1,Depression,0.19,2023-Q1
Manitoba,2023,2,Depression,0.17,2023-Q2
Manitoba,2023,3,Depression,0.16,2023-Q3
New Brunswick,2021,2,Depression,0.21,2021-Q2
New Brunswick,2021,3,Depression,0.21,2021-Q3
New Brunswick,2021,4,Depression,0.21,2021-Q4
New Brunswick,2022,1,Depression,0.2,2022-Q1
New Brunswick,2022,2,Depression,0.21,2022-Q2
New Brunswick,2022,3,Depression,0.19,2022-Q3
New Brunswick,2022,4,Depression,0.22,2022-Q4
New Brunswick,2023,1,Depression,0.2,2023-Q1
New Brunswick,2023,2,Depression,0.18,2023-Q2
New Brunswick,2023,3,Depression,0.18,2023-Q3
Newfoundland and Labrador,2021,2,Depression,0.18,2021-Q2
Newfoundland and Labrador,2021,3,Depression,0.19,2021-Q3
Newfoundland and Labrador,2021,4,Depression,0.22,2021-Q4
Newfoundland and Labrador,2022,1,Depression,0.18,2022-Q1
Newfoundland and Labrador,2022,2,Depression,0.21,2022-Q2
Newfoundland and Labrador,2022,3,Depression,0.2,2022-Q3
Newfoundland and Labrador,2022,4,Depression,0.2,2022-Q4
Newfoundland and Labrador,2023,1,Depression,0.18,2023-Q1
Newfoundland and Labrador,2023,2,Depression,0.19,2023-Q2
Newfoundland and Labrador,2023,3,Depression,0.19,2023-Q3
Nova Scotia,2021,2,Depression,0.2,2021-Q2
Nova Scotia,2021,3,Depression,0.17,2021-Q3
Nova Scotia,2021,4,Depression,0.19,2021-Q4
